lyrics
[00:00.000 --> 00:23.800]  Wie bist du, meine Königin? #시작 시간 안 맞음
[00:23.800 --> 00:38.840]  Durch sanfte Güte, wundervoll, du lächle nur, #연에 맞지 않게 구성됨(모델의 한계라 해결이 힘들 것으로 생각됨)
[00:38.840 --> 00:53.740]  lenzüfte wehn durch mein Gemüte, wundervoll. #wundervoll-> wonnevoll(solved)
[00:53.800 --> 01:00.800]  Wundervoll.
[01:00.800 --> 01:13.800]  Wundervoll.
[01:13.800 --> 01:21.800]  Frisch aufgeblühter Rosenglanz
[01:21.800 --> 01:23.780]  vergleicht mir,
[01:23.780 --> 01:30.780]  heilig ich in dem deinigen.
[01:30.780 --> 01:42.780]  Ach, über alles, was da blüht, ist deine Blüte
[01:42.780 --> 01:50.780]  wundervoll.
[01:50.780 --> 01:52.780]  Wundervoll.
[01:52.780 --> 01:53.780]  Wundervoll.
[01:53.780 --> 01:56.780]  Frisch aufgeblühter Rosenglanz #삭제
[01:56.780 --> 01:57.780]  vergleicht mir, #삭제
[01:57.780 --> 01:59.780]  heilig ich in dem deinigen. #삭제
[01:59.780 --> 02:08.780]  Ach, über alles, was da blüht, ist deine Blüte wundervoll. #삭제
[02:08.780 --> 02:15.780]  Durch tote Wüsten wandle hin
[02:15.780 --> 02:20.780]  und grüne Schatten breiten sie, #sie -> sich
[02:20.780 --> 02:22.780]  und grüne Schatten breiten sie,
[02:22.780 --> 02:28.780]  mal als Clash in Ix lain wie ich.
[02:28.780 --> 02:42.780]  Ab fürchterliches Hühle dort ohne Ende brüte.
[02:42.780 --> 02:48.780]  Wundervoll, wundervoll,
[02:48.780 --> 02:49.780]  wundervoll.
[02:49.780 --> 02:59.780]  Wande, wande voll!
[02:59.780 --> 03:19.780]  Lass mich vergehen in deinem Arm. #Lass -> Laß(해결 안 됨)
[03:19.780 --> 03:29.160]  Es ist in ihm ja selbst der Tod.
[03:29.780 --> 03:41.780]  Hab auch die erbste Todesquall die Brust durchwüte.
[03:41.780 --> 03:48.780]  Wande voll!
[03:48.780 --> 03:58.780]  Wande, wande voll!
[03:59.780 --> 04:09.780]  Es ist in ihm ja selbst der Tod. #삭제
[04:09.780 --> 04:19.780]  Hab auch die erbste Tod. #삭제
[04:19.780 --> 04:25.780]  Es ist in ihm ja selbst der Tod. #삭제
[04:25.780 --> 04:27.780]  Hab auch die erbste Tod. #삭제
